
1	美咲	2310
2	さくら	2091
3	萌	1990
4	七海	1975
5	葵	1970
6	美月	1764
7	彩花	1740
8	未来	1731
9	彩乃	1699
10	遥	1692
11	美優	1645
12	陽菜	1604
13	明日香	1577
14	優花	1523
15	楓	1496
16	愛美	1443
17	優奈	1381
18	美羽	1380
19	愛	1338
20	優衣	1332
21	千尋	1286
22	玲奈	1247
23	舞	1227
24	菜月	1195
25	結衣	1143
26	桃子	1141
27	愛梨	1111
28	莉子	1102
29	里奈	1086
30	琴音	1050
31	遥香	1027
32	桃花	992
33	彩夏	947
34	綾乃	932
35	優希	909
36	莉奈	885
37	萌花	873
38	優香	864
39	亜美	862
40	優菜	838
41	花音	831
42	菜々子	830
43	麻衣	799
44	彩香	786
45	美空	785
46	愛実	781
47	凜	770
48	ひなた	767
49	怜奈	767
50	あかり	764
51	真由	764
52	里菜	764
53	菜々美	748
54	真衣	748
55	佳奈	744
56	葉月	736
57	朱里	735
58	桃香	735
59	百花	734
60	凛	729
61	愛莉	727
62	優	727
63	彩	725
64	詩織	717
65	茜	703
66	彩音	700
67	晴香	698
68	唯	680
69	千夏	679
70	瑞希	672
71	菜摘	670
72	栞	670
73	理子	664
74	杏奈	659
75	愛菜	657
76	結菜	652
77	朱音	641
78	真帆	632
79	ひかる	631
80	奈々	628
81	真央	627
82	彩華	622
83	真優	617
84	琴美	615
85	桜子	605
86	愛華	597
87	ひかり	590
88	愛理	588
89	愛海	575
90	真菜	570
91	萌香	570
92	綾香	569
93	日菜	569
94	美結	566
95	友香	566
96	くるみ	562
97	真奈	558
98	桜	556
99	梨乃	555
100	奈央	553
101	みなみ	551
102	若菜	551
103	瞳	545
104	ほのか	543
105	乃愛	536
106	芽依	533
107	綾音	532
108	美穂	530
109	杏	521
110	咲良	518
111	芽生	511
112	真子	501
113	美海	495
114	碧	495
115	愛佳	490
116	咲希	485
117	愛奈	482
118	春菜	478
119	美里	475
120	夏海	474
121	花	471
122	優里	471
123	花菜	470
124	風花	466
125	彩加	461
126	美桜	454
127	美帆	453
128	春香	447
129	芽衣	440
130	梨花	440
131	和奏	438
132	みのり	437
133	陽香	436
134	美紅	430
135	瑠菜	429
136	有紗	428
137	ひより	426
138	雅	425
139	渚	425
140	日和	424
141	未夢	423
142	あゆみ	422
143	歩美	421
144	恵	419
145	涼香	419
146	瑞季	416
147	愛花	411
148	菜々	410
149	日菜子	408
150	莉央	408
151	日向子	407
152	春花	406
153	成美	406
154	桃佳	406
155	結	405
156	実優	404
157	美波	399
158	寧々	397
159	優月	396
160	菜緒	392
161	天音	391
162	実咲	390
163	夏帆	386
164	穂香	384
165	なつみ	383
166	希美	382
167	千紘	382
168	早紀	381
169	愛香	380
170	夏希	380
171	華	380
172	仁美	380
173	瑠奈	378
174	麗奈	375
175	歩	368
176	涼花	366
177	紗希	363
178	はるか	361
179	夏実	361
180	雪乃	359
181	玲菜	356
182	香乃	352
183	真歩	350
184	美緒	349
185	胡桃	348
186	ちひろ	347
187	晴菜	344
188	由佳	344
189	響	343
190	汐音	343
191	もも	340
192	蘭	337
193	愛里	335
194	伶奈	335
195	悠	333
196	遥菜	329
197	鈴	327
198	百香	325
199	優美	325
200	こころ	321
201	光	321
202	有希	316
203	梨央	316
204	萌衣	314
205	風香	313
206	萌夏	313
207	果歩	309
208	真希	309
209	美玖	308
210	愛子	307
